ENTIDAD_FEDERATIVA,Depresion_Sem,Depresion_M,Depresion_F,Parkinson_Sem,Parkinson_M,Parkinson_F,Alzheimer_Sem,Alzheimer_M,Alzheimer_F,ANIO,SEMANA
Aguascalientes,1,1,,,,,,,,2014,2
Baja California,2,1,1.0,1.0,1.0,,,,,2014,2
Campeche,2,1,1.0,,,,,,,2014,2
Coahuila,6,2,4.0,,,,,,,2014,2
Guerrero,4,2,2.0,,,,,,,2014,2
Jalisco,2,1,1.0,,,,,,,2014,2
México,3,1,2.0,,,,,,,2014,2
Michoacán,6,2,4.0,,,,,,,2014,2
Morelos,19,4,15.0,,,,,,,2014,2
Sonora,10,2,8.0,,,,,,,2014,2
Veracruz,16,7,9.0,1.0,1.0,,,,,2014,2
Yucatán,19,5,14.0,4.0,1.0,3.0,2.0,2.0,,2014,2
TOTAL,131,29,102.0,11.0,5.0,6.0,4.0,2.0,2.0,2014,2
Aguascalientes,2,2,1.0,,,,,,,2014,3
Baja California,50,10,42.0,6.0,2.0,5.0,6.0,1.0,5.0,2014,3
Baja California Sur,2,1,1.0,,,,,,,2014,3
Campeche,11,2,11.0,1.0,,1.0,,,,2014,3
Coahuila,23,6,23.0,6.0,3.0,3.0,,,,2014,3
Colima,13,5,8.0,1.0,1.0,,,,,2014,3
Chiapas,13,3,10.0,1.0,1.0,,,,,2014,3
Chihuahua,51,8,44.0,4.0,3.0,1.0,2.0,,2.0,2014,3
Distrito Federal,71,17,62.0,6.0,1.0,5.0,1.0,1.0,,2014,3
Guerrero,20,4,20.0,2.0,2.0,,,,,2014,3
Hidalgo,3,2,1.0,2.0,,2.0,,,,2014,3
Jalisco,23,6,19.0,,,,,,,2014,3
México,83,14,72.0,14.0,9.0,5.0,,,,2014,3
Michoacán,27,10,23.0,6.0,3.0,3.0,2.0,1.0,1.0,2014,3
Morelos,33,11,41.0,5.0,4.0,1.0,,,,2014,3
Nayarit,17,5,12.0,2.0,2.0,,2.0,,2.0,2014,3
Nuevo León,32,3,29.0,5.0,2.0,3.0,3.0,1.0,2.0,2014,3
Oaxaca,10,2,12.0,2.0,1.0,2.0,1.0,1.0,,2014,3
Quintana Roo,6,2,4.0,4.0,3.0,1.0,1.0,1.0,,2014,3
San Luis Potosí,9,1,11.0,2.0,1.0,1.0,,,,2014,3
Sinaloa,31,6,44.0,9.0,6.0,6.0,2.0,,3.0,2014,3
Sonora,24,6,28.0,4.0,3.0,1.0,4.0,3.0,1.0,2014,3
Tabasco,5,2,3.0,1.0,,1.0,,,,2014,3
Tamaulipas,28,4,24.0,6.0,4.0,2.0,2.0,1.0,1.0,2014,3
Veracruz,31,12,35.0,,1.0,,1.0,1.0,,2014,3
Yucatán,18,10,27.0,,1.0,3.0,2.0,3.0,1.0,2014,3
Zacatecas,15,4,12.0,,,,,,,2014,3
TOTAL,658,158,632.0,89.0,53.0,47.0,29.0,14.0,19.0,2014,3
Aguascalientes,1,2,2.0,1.0,,1.0,,,,2014,4
Baja California,54,17,89.0,2.0,3.0,6.0,1.0,1.0,6.0,2014,4
Baja California Sur,8,3,7.0,3.0,1.0,2.0,,,,2014,4
Campeche,10,2,21.0,,,1.0,1.0,1.0,,2014,4
Coahuila,19,8,40.0,6.0,8.0,4.0,,,,2014,4
Colima,22,8,27.0,3.0,2.0,2.0,,,,2014,4
Chiapas,10,6,17.0,3.0,4.0,,1.0,1.0,,2014,4
Chihuahua,46,21,77.0,5.0,6.0,3.0,2.0,1.0,3.0,2014,4
Distrito Federal,150,52,177.0,11.0,6.0,11.0,,1.0,,2014,4
